Date    Flow
20120101    7.551E-01
20120102    6.837E-01
20120103    7.734E-01
20120104    8.083E-01
20120105    7.970E-01
20120106    8.405E-01
20120107    8.336E-01
20120108    8.028E-01
20120109    7.609E-01
20120110    9.028E-01
20120111    7.864E-01
20120112    6.766E-01
20120113    5.917E-01
20120114    5.280E-01
20120115    4.696E-01
20120116    5.456E-01
20120117    7.578E-01
20120118    8.299E-01
20120119    8.658E-01
20120120    1.391E+00
20120121    1.084E+00
20120122    1.029E+00
20120123    3.677E+00
20120124    2.633E+00
20120125    2.706E+00
20120126    3.244E+00
20120127    1.595E+00
20120128    1.368E+00
20120129    1.349E+00
20120130    2.297E+00
20120131    1.313E+00
20120201    1.342E+00
20120202    1.486E+00
20120203    1.640E+00
20120204    4.440E+00
20120205    1.585E+00
20120206    3.356E+00
20120207    2.447E+00
20120208    2.176E+00
20120209    1.878E+00
20120210    1.391E+00
20120211    2.030E+00
20120212    1.733E+00
20120213    1.442E+00
20120214    1.384E+00
20120215    1.319E+00
20120216    1.293E+00
20120217    9.802E-01
20120218    1.098E+00
20120219    1.096E+00
20120220    9.847E-01
20120221    8.124E-01
20120222    8.332E-01
20120223    8.232E-01
20120224    8.417E-01
20120225    9.532E-01
20120226    7.281E-01
20120227    1.447E+00
20120228    4.178E+00
20120229    5.176E+00
20120301    3.594E+00
20120302    2.027E+00
20120303    1.343E+00
20120304    1.279E+00
20120305    2.510E+00
20120306    1.296E+00
20120307    2.162E+00
20120308    1.822E+00
20120309    1.237E+00
20120310    1.320E+00
20120311    1.246E+00
20120312    1.509E+00
20120313    3.130E+00
20120314    2.548E+00
20120315    3.295E+00
20120316    2.913E+00
20120317    1.937E+00
20120318    2.567E+00
20120319    5.444E+00
20120320    7.439E+00
20120321    6.896E+00
20120322    5.009E+00
20120323    3.937E+00
20120324    1.471E+00
20120325    1.485E+00
20120326    4.039E+00
20120327    8.056E+00
20120328    5.099E+00
20120329    3.069E+00
20120330    4.598E+00
20120331    3.495E+00
20120401    2.973E+00
20120402    2.569E+00
20120403    2.252E+00
20120404    1.971E+00
20120405    1.762E+00
20120406    1.581E+00
20120407    1.247E+00
20120408    1.255E+00
20120409    1.232E+00
20120410    1.189E+00
20120411    1.213E+00
20120412    9.831E-01
20120413    4.305E+00
20120414    3.557E+00
20120415    2.778E+00
20120416    1.965E+00
20120417    1.326E+00
20120418    1.292E+00
20120419    2.056E+00
20120420    1.883E+00
20120421    1.223E+00
20120422    1.327E+00
20120423    1.294E+00
20120424    1.268E+00
20120425    1.217E+00
20120426    1.154E+00
20120427    1.166E+00
20120428    8.467E-01
20120429    9.186E-01
20120430    8.576E-01
20120501    6.012E-01
20120502    7.577E-01
20120503    6.901E-01
20120504    5.531E-01
20120505    5.871E-01
20120506    5.980E-01
20120507    5.926E-01
20120508    7.474E-01
20120509    6.753E-01
20120510    5.993E-01
20120511    5.462E-01
20120512    4.575E-01
20120513    4.260E-01
20120514    3.964E-01
20120515    5.626E-01
20120516    5.117E-01
20120517    4.556E-01
20120518    4.077E-01
20120519    6.505E-01
20120520    6.835E-01
20120521    1.934E+00
20120522    3.080E+00
20120523    2.226E+00
20120524    1.968E+00
20120525    1.157E+01
20120526    5.438E+00
20120527    3.298E+00
20120528    4.504E+00
20120529    3.503E+00
20120530    1.558E+00
20120531    2.030E+00
20120601    2.519E+00
20120602    2.295E+00
20120603    1.668E+00
20120604    2.841E+00
20120605    2.301E+00
20120606    2.022E+00
20120607    1.788E+00
20120608    1.579E+00
20120609    1.239E+00
20120610    1.243E+00
20120611    1.214E+00
20120612    1.190E+00
20120613    1.123E+00
20120614    1.061E+00
20120615    9.954E-01
20120616    9.323E-01
20120617    8.702E-01
20120618    8.124E-01
20120619    7.915E-01
20120620    6.532E-01
20120621    7.882E-01
20120622    7.095E-01
20120623    5.447E-01
20120624    4.908E-01
20120625    4.463E-01
20120626    4.248E-01
20120627    4.484E-01
20120628    4.254E-01
20120629    4.054E-01
20120630    3.892E-01
20120701    3.867E-01
20120702    4.861E-01
20120703    4.537E-01
20120704    4.221E-01
20120705    3.921E-01
20120706    3.693E-01
20120707    3.092E-01
20120708    4.614E-01
20120709    4.009E-01
20120710    1.494E+00
20120711    9.087E-01
20120712    8.363E-01
20120713    8.204E-01
20120714    7.753E-01
20120715    7.318E-01
20120716    6.974E-01
20120717    6.721E-01
20120718    8.169E-01
20120719    6.654E-01
20120720    8.002E-01
20120721    6.444E-01
20120722    6.681E-01
20120723    6.792E-01
20120724    5.809E-01
20120725    7.563E-01
20120726    6.777E-01
20120727    5.981E-01
20120728    4.644E-01
20120729    5.043E-01
20120730    4.600E-01
20120731    4.230E-01
20120801    3.927E-01
20120802    3.673E-01
20120803    3.461E-01
20120804    3.277E-01
20120805    3.119E-01
20120806    2.979E-01
20120807    2.841E-01
20120808    2.735E-01
20120809    2.639E-01
20120810    2.587E-01
20120811    2.547E-01
20120812    2.500E-01
20120813    2.448E-01
20120814    2.395E-01
20120815    2.342E-01
20120816    2.289E-01
20120817    2.238E-01
20120818    2.188E-01
20120819    2.141E-01
20120820    2.095E-01
20120821    2.066E-01
20120822    2.172E-01
20120823    2.201E-01
20120824    2.215E-01
20120825    2.169E-01
20120826    2.107E-01
20120827    2.044E-01
20120828    1.984E-01
20120829    1.943E-01
20120830    1.907E-01
20120831    1.863E-01
20120901    1.820E-01
20120902    1.779E-01
20120903    1.743E-01
20120904    1.709E-01
20120905    1.679E-01
20120906    1.661E-01
20120907    1.637E-01
20120908    1.631E-01
20120909    1.598E-01
20120910    1.590E-01
20120911    1.585E-01
20120912    1.589E-01
20120913    1.558E-01
20120914    1.551E-01
20120915    1.518E-01
20120916    1.512E-01
20120917    1.480E-01
20120918    1.476E-01
20120919    1.446E-01
20120920    1.444E-01
20120921    1.416E-01
20120922    1.416E-01
20120923    1.390E-01
20120924    1.391E-01
20120925    1.366E-01
20120926    1.368E-01
20120927    1.364E-01
20120928    1.364E-01
20120929    1.356E-01
20120930    1.347E-01
20121001    1.336E-01
20121002    1.326E-01
20121003    1.398E-01
20121004    1.427E-01
20121005    1.422E-01
20121006    1.509E-01
